时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:39:00+00:00,In,0.03613,0.03606,0.0364,13736,499.9904,1.0,4499.00962,13736,4999.0000192
2018-02-13T15:03:00+00:00,Out,0.03631,0.03608,0.036,13736,494.496,0.989,4992.51663,0,4992.5166272
2018-02-13T16:21:00+00:00,In,0.03609,0.03597,0.0372,13420,499.224,0.9984,4492.29418,13420,4991.5181792
2018-02-13T16:27:00+00:00,In,0.03659,0.03604,0.0375,5989,224.5875,0.4492,4267.2575,19409,4995.0950041999995
2018-02-13T16:51:00+00:00,In,0.03678,0.03614,0.0371,5751,213.3621,0.4267,4053.46868,25160,4986.90468
2018-02-13T16:57:00+00:00,In,0.03697,0.03623,0.0373,5433,202.6509,0.4053,3850.41248,30593,4991.531378199999
2018-02-13T17:03:00+00:00,In,0.03723,0.03633,0.0378,5093,192.5154,0.385,3657.51205,35686,5006.4428474
2018-02-13T17:09:00+00:00,In,0.0377,0.03647,0.0385,4750,182.875,0.3658,3474.2713,40436,5031.057297400001
2018-02-13T17:15:00+00:00,In,0.038,0.0366,0.0383,4535,173.6905,0.3474,3300.23342,44971,5022.6227164
2018-02-13T17:27:00+00:00,In,0.03823,0.03686,0.0385,4286,165.011,0.33,3134.89239,49257,5031.2868944
2018-02-13T18:03:00+00:00,Out,0.03766,0.03756,0.0375,49257,1847.1375,3.6943,4978.33562,0,4978.3356194
2018-02-13T20:27:00+00:00,In,0.03748,0.03744,0.0377,13205,497.8285,0.9957,4479.51146,13205,4977.339962399999
2018-02-13T20:39:00+00:00,Out,0.03757,0.03744,0.0374,13205,493.867,0.9877,4972.39073,0,4972.3907284
2018-02-13T23:57:00+00:00,In,0.03665,0.0366,0.0369,13475,497.2275,0.9945,4474.16877,13475,4971.3962734
2018-02-14T00:03:00+00:00,In,0.03677,0.03661,0.0371,6029,223.6759,0.4474,4250.04552,19504,4973.6439216
2018-02-14T00:21:00+00:00,Out,0.03688,0.03663,0.0366,19504,713.8464,1.4277,4962.46423,0,4962.4642288
2018-02-14T00:51:00+00:00,In,0.037,0.03676,0.0372,13339,496.2108,0.9924,4465.26101,13339,4961.4718072
2018-02-14T01:03:00+00:00,In,0.03724,0.03687,0.0375,5953,223.2375,0.4465,4241.57703,19292,4965.0270322
2018-02-14T01:51:00+00:00,Out,0.03713,0.0371,0.0369,19292,711.8748,1.4237,4952.02808,0,4952.0280826
2018-02-14T03:33:00+00:00,In,0.03718,0.03705,0.0374,13240,495.176,0.9904,4455.86173,13240,4951.0377306
2018-02-14T04:15:00+00:00,In,0.03739,0.03718,0.0376,5925,222.78,0.4456,4232.63617,19165,4953.2401706
2018-02-14T05:39:00+00:00,In,0.03769,0.03763,0.0379,5583,211.5957,0.4232,4020.61728,24748,4958.5664792
2018-02-14T06:03:00+00:00,Out,0.03777,0.03772,0.0376,24748,930.5248,1.861,4949.28103,0,4949.2810296
2018-02-14T06:33:00+00:00,In,0.0378,0.03773,0.038,13024,494.912,0.9898,4453.37921,13024,4948.2912056000005
2018-02-14T06:51:00+00:00,Out,0.03785,0.03775,0.0377,13024,491.0048,0.982,4943.402,0,4943.4019960000005
2018-02-14T07:39:00+00:00,In,0.0379,0.03776,0.0382,12940,494.308,0.9886,4448.10538,12940,4942.413380000001
2018-02-14T08:39:00+00:00,Out,0.03791,0.03786,0.0378,12940,489.132,0.9783,4936.25912,0,4936.259116000001
2018-02-14T10:45:00+00:00,In,0.0375,0.03742,0.0377,13093,493.6061,0.9872,4441.6658,13093,4935.271903800001
2018-02-14T10:51:00+00:00,In,0.0376,0.03742,0.0379,5859,222.0561,0.4441,4219.16559,18952,4937.446391600002
2018-02-14T11:21:00+00:00,In,0.03796,0.0376,0.0382,5522,210.9404,0.4219,4007.80331,24474,4942.7101108000015
2018-02-14T11:27:00+00:00,In,0.0383,0.03768,0.0395,5073,200.3835,0.4008,3807.01904,29547,4974.125543800002
2018-02-14T11:33:00+00:00,In,0.03887,0.03783,0.0401,4746,190.3146,0.3806,3616.32381,34293,4991.473114600001
2018-02-14T11:39:00+00:00,In,0.03967,0.03803,0.0411,4399,180.7989,0.3616,3435.16332,38692,5025.404516800001
2018-02-14T11:45:00+00:00,In,0.04038,0.03823,0.0407,4220,171.754,0.3435,3263.06581,42912,5009.584208800002
2018-02-14T11:51:00+00:00,In,0.04079,0.03844,0.041,3979,163.139,0.3263,3099.60053,46891,5022.131530800002
2018-02-14T12:15:00+00:00,In,0.04083,0.03917,0.0414,3743,154.9602,0.3099,2944.33041,50634,5040.578010400002
2018-02-14T12:21:00+00:00,In,0.04093,0.03938,0.0413,3564,147.1932,0.2944,2796.84282,54198,5035.220224000002
2018-02-14T12:27:00+00:00,In,0.04107,0.0396,0.0415,3369,139.8135,0.2796,2656.7497,57567,5045.780197000002
2018-02-14T13:03:00+00:00,Out,0.04082,0.04062,0.0406,57567,2337.2202,4.6744,4989.29546,0,4989.295456600001
2018-02-14T13:21:00+00:00,In,0.04114,0.04101,0.0419,11907,498.9033,0.9978,4489.39435,11907,4988.29765
2018-02-14T13:57:00+00:00,Out,0.04107,0.04113,0.041,11907,488.187,0.9764,4976.60498,0,4976.6049760000005
2018-02-14T15:33:00+00:00,In,0.0402,0.04019,0.0406,12257,497.6342,0.9953,4477.97551,12257,4975.609707600001
2018-02-14T15:39:00+00:00,In,0.04041,0.04017,0.0408,5487,223.8696,0.4477,4253.65817,17744,4977.613368400001
2018-02-14T16:03:00+00:00,In,0.04048,0.04007,0.0407,5225,212.6575,0.4253,4040.57535,22969,4975.4136534
2018-02-14T16:21:00+00:00,In,0.0405,0.04017,0.0408,4951,202.0008,0.404,3838.17055,27920,4977.3065518
2018-02-14T16:39:00+00:00,Out,0.04036,0.04024,0.0402,27920,1122.384,2.2448,4958.30978,0,4958.309783799999
2018-02-14T19:09:00+00:00,In,0.04004,0.04001,0.0403,12303,495.8109,0.9916,4461.50726,12303,4957.318162
2018-02-14T19:27:00+00:00,Out,0.04018,0.04004,0.0399,12303,490.8897,0.9818,4951.41518,0,4951.415182599999
2018-02-14T22:33:00+00:00,In,0.0401,0.0399,0.0404,12255,495.102,0.9902,4455.32298,12255,4950.424978599999
2018-02-14T22:39:00+00:00,In,0.04017,0.03992,0.0404,5514,222.7656,0.4455,4232.11185,17769,4949.979447399999
2018-02-14T23:45:00+00:00,In,0.04064,0.04037,0.0411,5148,211.5828,0.4232,4020.10588,22917,4961.9945818
2018-02-14T23:51:00+00:00,In,0.04087,0.04044,0.0412,4878,200.9736,0.4019,3818.73033,27795,4963.884334599999
2018-02-15T00:33:00+00:00,Out,0.04078,0.0407,0.0404,27795,1122.918,2.2458,4939.4025,0,4939.4024985999995
2018-02-15T02:21:00+00:00,In,0.04006,0.04001,0.0404,12226,493.9304,0.9879,4444.48424,12226,4938.4146378
2018-02-15T02:45:00+00:00,In,0.04063,0.04012,0.0409,5433,222.2097,0.4444,4221.83012,17659,4944.083218399999
2018-02-15T02:51:00+00:00,In,0.04079,0.04017,0.0411,5136,211.0896,0.4222,4010.31834,22795,4947.192839199999
2018-02-15T03:21:00+00:00,In,0.0411,0.04048,0.0414,4843,200.5002,0.401,3809.41714,27638,4953.630338799999
2018-02-15T04:39:00+00:00,In,0.04126,0.04115,0.0417,4567,190.4439,0.3809,3618.59235,32205,4961.540850999999
2018-02-15T05:09:00+00:00,Out,0.0414,0.04126,0.0412,32205,1326.846,2.6537,4942.78466,0,4942.784658999999
2018-02-15T12:45:00+00:00,In,0.03961,0.03948,0.0399,12387,494.2413,0.9885,4447.55488,12387,4941.796176399998
2018-02-15T13:27:00+00:00,In,0.03987,0.03954,0.0402,5531,222.3462,0.4447,4224.76398,17918,4945.0675839999985
2018-02-15T14:09:00+00:00,In,0.04005,0.03986,0.0403,5241,211.2123,0.4224,4013.12926,23159,4946.436959399998
2018-02-15T15:03:00+00:00,In,0.04046,0.04019,0.0408,4918,200.6544,0.4013,3812.07355,28077,4957.615150599999
2018-02-15T15:51:00+00:00,Out,0.04067,0.04046,0.0404,28077,1134.3108,2.2686,4944.11573,0,4944.115728999998
2018-02-15T17:21:00+00:00,In,0.04056,0.04045,0.0409,12088,494.3992,0.9888,4448.72773,12088,4943.126930599998
2018-02-15T17:27:00+00:00,In,0.04067,0.04046,0.041,5425,222.425,0.4449,4225.85788,17513,4943.890880599998
2018-02-15T18:15:00+00:00,In,0.04098,0.0407,0.0412,5128,211.2736,0.4225,4014.16173,22641,4946.970933399998
2018-02-15T18:45:00+00:00,Out,0.04115,0.04092,0.0409,22641,926.0169,1.852,4938.3266,0,4938.326599599998
2018-02-15T20:21:00+00:00,In,0.04097,0.04091,0.0412,11986,493.8232,0.9876,4443.51575,11986,4937.338953199998
2018-02-15T20:27:00+00:00,Out,0.04096,0.04088,0.0408,11986,489.0288,0.9781,4931.5665,0,4931.566495599998
2018-02-15T22:45:00+00:00,In,0.04063,0.0406,0.0411,11998,493.1178,0.9862,4437.46246,11998,4930.580259999998
2018-02-15T23:21:00+00:00,In,0.04115,0.04075,0.0414,5359,221.8626,0.4437,4215.15613,17357,4933.735934799997
2018-02-16T00:09:00+00:00,In,0.04117,0.04104,0.0414,5090,210.726,0.4215,4004.00868,22447,4933.314482799998
2018-02-16T00:39:00+00:00,Out,0.04133,0.04122,0.0412,22447,924.8164,1.8496,4926.97545,0,4926.975449999998
