时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:33:00+00:00,In,0.03605,0.03604,0.0363,13774,499.9962,1.0,4499.00381,13774,4999.0000076
2018-02-13T14:39:00+00:00,In,0.03613,0.03604,0.0364,6179,224.9156,0.4498,4273.63838,19953,4999.9275764
2018-02-13T15:03:00+00:00,Out,0.0363,0.03607,0.036,19953,718.308,1.4366,4990.50976,0,4990.5097604
2018-02-13T16:21:00+00:00,In,0.03612,0.03593,0.0372,13415,499.038,0.9981,4490.47368,13415,4989.5116843999995
2018-02-13T16:27:00+00:00,In,0.03663,0.036,0.0375,5987,224.5125,0.449,4265.51216,19402,4993.0871594
2018-02-13T16:51:00+00:00,In,0.03675,0.03618,0.0371,5748,213.2508,0.4265,4051.83486,25150,4984.8998578
2018-02-13T16:57:00+00:00,In,0.03698,0.03629,0.0373,5431,202.5763,0.4052,3848.85341,30581,4989.5247051999995
2018-02-13T17:03:00+00:00,In,0.03727,0.0364,0.0378,5091,192.4398,0.3849,3656.02873,35672,5004.4303256
2018-02-13T17:09:00+00:00,In,0.03774,0.03656,0.0385,4748,182.798,0.3656,3472.86513,40420,5029.035129600001
2018-02-13T17:15:00+00:00,In,0.038,0.03672,0.0383,4533,173.6139,0.3472,3298.904,44953,5020.6039018
2018-02-13T17:27:00+00:00,In,0.03823,0.03703,0.0385,4284,164.934,0.3299,3133.64013,49237,5029.2646337999995
2018-02-13T17:57:00+00:00,Out,0.03774,0.03764,0.0376,49237,1851.3112,3.7026,4981.24871,0,4981.2487114
2018-02-13T20:27:00+00:00,In,0.03749,0.03743,0.0377,13212,498.0924,0.9962,4482.16013,13212,4980.252526599999
2018-02-13T20:39:00+00:00,Out,0.03757,0.03742,0.0374,13212,494.1288,0.9883,4975.30067,0,4975.300669
2018-02-13T23:57:00+00:00,In,0.03666,0.03659,0.0369,13483,497.5227,0.995,4476.78292,13483,4974.3056236
2018-02-14T00:03:00+00:00,In,0.03678,0.03659,0.0371,6033,223.8243,0.4476,4252.51098,19516,4976.554575
2018-02-14T00:21:00+00:00,Out,0.03688,0.03664,0.0366,19516,714.2856,1.4286,4965.368,0,4965.3680038
2018-02-14T00:51:00+00:00,In,0.03701,0.03681,0.0372,13347,496.5084,0.993,4467.86659,13347,4964.374987
2018-02-14T01:03:00+00:00,In,0.03726,0.0369,0.0375,5957,223.3875,0.4468,4244.03231,19304,4967.932312
2018-02-14T01:51:00+00:00,Out,0.03713,0.03712,0.0369,19304,712.3176,1.4246,4954.92528,0,4954.925276800001
2018-02-14T03:33:00+00:00,In,0.03718,0.03706,0.0374,13248,495.4752,0.991,4458.45913,13248,4953.934326400001
2018-02-14T03:51:00+00:00,Out,0.03721,0.0371,0.0371,13248,491.5008,0.983,4948.97692,0,4948.976924800001
2018-02-14T04:15:00+00:00,In,0.0374,0.03722,0.0376,13162,494.8912,0.9898,4453.09594,13162,4947.987142400001
2018-02-14T05:33:00+00:00,Out,0.03765,0.03765,0.0376,13162,494.8912,0.9898,4946.99736,0,4946.997360000001
2018-02-14T05:39:00+00:00,In,0.03769,0.03768,0.0379,13052,494.6708,0.9893,4451.33722,13052,4946.008018400001
2018-02-14T06:03:00+00:00,Out,0.03777,0.03773,0.0376,13052,490.7552,0.9815,4941.11091,0,4941.110908000001
2018-02-14T06:33:00+00:00,In,0.0378,0.03774,0.038,13002,494.076,0.9882,4446.04676,13002,4940.122756000001
2018-02-14T06:51:00+00:00,Out,0.03785,0.03776,0.0377,13002,490.1754,0.9804,4935.24181,0,4935.2418052
2018-02-14T07:39:00+00:00,In,0.0379,0.03776,0.0382,12919,493.5058,0.987,4440.74899,12919,4934.2547936
2018-02-14T08:39:00+00:00,Out,0.03791,0.0379,0.0378,12919,488.3382,0.9767,4928.11052,0,4928.110517200001
2018-02-14T10:45:00+00:00,In,0.0375,0.0374,0.0377,13071,492.7767,0.9856,4434.34826,13071,4927.124963800001
2018-02-14T10:51:00+00:00,In,0.03761,0.03743,0.0379,5850,221.715,0.4434,4212.18983,18921,4929.2957338
