时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:33:00+00:00,In,0.03605,0.03605,0.0363,13774,499.9962,1.0,4499.00381,13774,4999.0000076
2018-02-13T14:39:00+00:00,In,0.03613,0.03605,0.0364,6179,224.9156,0.4498,4273.63838,19953,4999.9275764
2018-02-13T15:03:00+00:00,Out,0.0363,0.03607,0.036,19953,718.308,1.4366,4990.50976,0,4990.5097604
2018-02-13T16:21:00+00:00,In,0.03612,0.03594,0.0372,13415,499.038,0.9981,4490.47368,13415,4989.5116843999995
2018-02-13T16:27:00+00:00,In,0.03663,0.03601,0.0375,5987,224.5125,0.449,4265.51216,19402,4993.0871594
2018-02-13T16:51:00+00:00,In,0.03675,0.03616,0.0371,5748,213.2508,0.4265,4051.83486,25150,4984.8998578
2018-02-13T16:57:00+00:00,In,0.03698,0.03627,0.0373,5431,202.5763,0.4052,3848.85341,30581,4989.5247051999995
2018-02-13T17:03:00+00:00,In,0.03727,0.03638,0.0378,5091,192.4398,0.3849,3656.02873,35672,5004.4303256
2018-02-13T17:09:00+00:00,In,0.03774,0.03654,0.0385,4748,182.798,0.3656,3472.86513,40420,5029.035129600001
2018-02-13T17:15:00+00:00,In,0.038,0.03668,0.0383,4533,173.6139,0.3472,3298.904,44953,5020.6039018
2018-02-13T17:27:00+00:00,In,0.03823,0.03699,0.0385,4284,164.934,0.3299,3133.64013,49237,5029.2646337999995
2018-02-13T17:57:00+00:00,Out,0.03774,0.03762,0.0376,49237,1851.3112,3.7026,4981.24871,0,4981.2487114
2018-02-13T20:27:00+00:00,In,0.03749,0.03743,0.0377,13212,498.0924,0.9962,4482.16013,13212,4980.252526599999
2018-02-13T20:39:00+00:00,Out,0.03757,0.03742,0.0374,13212,494.1288,0.9883,4975.30067,0,4975.300669
2018-02-13T23:57:00+00:00,In,0.03666,0.03659,0.0369,13483,497.5227,0.995,4476.78292,13483,4974.3056236
2018-02-14T00:03:00+00:00,In,0.03678,0.0366,0.0371,6033,223.8243,0.4476,4252.51098,19516,4976.554575
2018-02-14T00:21:00+00:00,Out,0.03688,0.03664,0.0366,19516,714.2856,1.4286,4965.368,0,4965.3680038
2018-02-14T00:51:00+00:00,In,0.03701,0.0368,0.0372,13347,496.5084,0.993,4467.86659,13347,4964.374987
2018-02-14T01:03:00+00:00,In,0.03726,0.03689,0.0375,5957,223.3875,0.4468,4244.03231,19304,4967.932312
2018-02-14T01:51:00+00:00,Out,0.03713,0.03712,0.0369,19304,712.3176,1.4246,4954.92528,0,4954.925276800001
2018-02-14T03:33:00+00:00,In,0.03718,0.03706,0.0374,13248,495.4752,0.991,4458.45913,13248,4953.934326400001
2018-02-14T04:15:00+00:00,In,0.0374,0.0372,0.0376,5928,222.8928,0.4458,4235.12054,19176,4956.138140800001
2018-02-14T05:33:00+00:00,Out,0.03765,0.03764,0.0376,19176,721.0176,1.442,4954.69611,0,4954.696105600001
2018-02-14T05:39:00+00:00,In,0.03769,0.03767,0.0379,13073,495.4667,0.9909,4458.23847,13073,4953.705172200001
2018-02-14T06:03:00+00:00,Out,0.03777,0.03773,0.0376,13073,491.5448,0.9831,4948.80018,0,4948.800182600001
2018-02-14T06:33:00+00:00,In,0.0378,0.03775,0.038,13023,494.874,0.9897,4452.93643,13023,4947.810434600001
2018-02-14T06:51:00+00:00,Out,0.03785,0.03776,0.0377,13023,490.9671,0.9819,4942.9216,0,4942.921600400001
2018-02-14T07:39:00+00:00,In,0.0379,0.03776,0.0382,12939,494.2698,0.9885,4447.66326,12939,4941.933060800001
2018-02-14T08:39:00+00:00,Out,0.03791,0.03789,0.0378,12939,489.0942,0.9782,4935.77927,0,4935.779272400001
2018-02-14T10:45:00+00:00,In,0.0375,0.0374,0.0377,13092,493.5684,0.9871,4441.22374,13092,4934.7921356000015
2018-02-14T10:51:00+00:00,In,0.03761,0.03743,0.0379,5859,222.0561,0.4441,4218.72352,18951,4936.966423400002
2018-02-14T11:21:00+00:00,In,0.03796,0.0376,0.0382,5521,210.9022,0.4218,4007.39952,24472,4942.229919000002
2018-02-14T11:27:00+00:00,In,0.03831,0.03771,0.0395,5072,200.344,0.4007,3806.65483,29544,4973.642831000002
2018-02-14T11:33:00+00:00,In,0.03891,0.03788,0.0401,4746,190.3146,0.3806,3615.9596,34290,4990.988601800002
2018-02-14T11:39:00+00:00,In,0.03974,0.03811,0.0411,4398,180.7578,0.3615,3434.84029,38688,5024.917086200001
2018-02-14T11:45:00+00:00,In,0.04046,0.03834,0.0407,4219,171.7133,0.3434,3262.78356,42907,5009.098459600002
2018-02-14T12:15:00+00:00,In,0.04082,0.03935,0.0414,3940,163.116,0.3262,3099.34133,46847,5038.807127600002
2018-02-14T12:21:00+00:00,In,0.04092,0.03958,0.0413,3752,154.9576,0.3099,2944.07381,50599,5033.812512400002
2018-02-14T12:27:00+00:00,In,0.04112,0.0398,0.0415,3547,147.2005,0.2944,2796.57891,54146,5043.637911400002
2018-02-14T13:03:00+00:00,Out,0.04083,0.04086,0.0406,54146,2198.3276,4.3967,4990.50986,0,4990.509856200002
2018-02-14T13:21:00+00:00,In,0.04117,0.04102,0.0419,11910,499.029,0.9981,4490.4828,11910,4989.511798200003
2018-02-14T13:45:00+00:00,Out,0.04123,0.04112,0.0411,11910,489.501,0.979,4979.0048,0,4979.004796200003
2018-02-14T15:33:00+00:00,In,0.04022,0.0401,0.0406,12263,497.8778,0.9958,4480.13124,12263,4978.009040600003
2018-02-14T15:39:00+00:00,In,0.04043,0.04008,0.0408,5490,223.992,0.448,4255.69126,17753,4980.013656600003
2018-02-14T16:03:00+00:00,In,0.04049,0.04009,0.0407,5228,212.7796,0.4256,4042.4861,22981,4977.812797400003
2018-02-14T16:21:00+00:00,In,0.04049,0.04017,0.0408,4954,202.1232,0.4042,3839.95865,27935,4979.706651000003
2018-02-14T16:39:00+00:00,Out,0.04035,0.04029,0.0402,27935,1122.987,2.246,4960.69968,0,4960.699677000003
2018-02-14T19:09:00+00:00,In,0.04004,0.04001,0.0403,12309,496.0527,0.9921,4463.65487,12309,4959.707571600004
2018-02-14T19:27:00+00:00,Out,0.04017,0.04007,0.0399,12309,491.1291,0.9823,4953.80171,0,4953.801713400004
2018-02-14T22:33:00+00:00,In,0.0401,0.0399,0.0404,12261,495.3444,0.9907,4457.46662,12261,4952.811024600003
2018-02-14T22:39:00+00:00,In,0.04017,0.03992,0.0404,5516,222.8464,0.4457,4234.17453,17777,4952.365331800003
