时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:39:00+00:00,In,0.03608,0.03604,0.0364,13736,499.9904,1.0,4499.00962,13736,4999.0000192
2018-02-13T14:51:00+00:00,In,0.03618,0.03606,0.0364,6179,224.9156,0.4498,4273.64419,19915,4998.550188
2018-02-13T15:03:00+00:00,Out,0.03628,0.03607,0.036,19915,716.94,1.4339,4989.15031,0,4989.150308
2018-02-13T16:27:00+00:00,In,0.03619,0.03601,0.0375,13304,498.9,0.9978,4489.25251,13304,4988.152508
2018-02-13T16:33:00+00:00,In,0.03644,0.03605,0.0367,6116,224.4572,0.4489,4264.34639,19420,4977.060393600001
2018-02-13T16:51:00+00:00,In,0.03689,0.03617,0.0371,5747,213.2137,0.4264,4050.70627,25167,4984.401966200001
2018-02-13T16:57:00+00:00,In,0.03706,0.03628,0.0373,5429,202.5017,0.405,3847.79956,30596,4989.030362800001
2018-02-13T17:03:00+00:00,In,0.03711,0.03639,0.0378,5089,192.3642,0.3847,3655.05063,35685,5003.9436344000005
2018-02-13T17:09:00+00:00,In,0.0373,0.03654,0.0385,4746,182.721,0.3654,3471.96419,40431,5028.5576924000015
2018-02-13T17:15:00+00:00,In,0.03755,0.03669,0.0383,4532,173.5756,0.3472,3298.04144,44963,5020.124341200001
2018-02-13T17:21:00+00:00,In,0.03782,0.03685,0.0382,4316,164.8712,0.3297,3132.8405,49279,5015.298298800001
2018-02-13T17:27:00+00:00,In,0.03802,0.037,0.0385,4068,156.618,0.3132,2975.90926,53347,5029.768762800001
2018-02-13T17:57:00+00:00,Out,0.03791,0.03763,0.0376,53347,2005.8472,4.0117,4977.74477,0,4977.744768400002
2018-02-13T23:57:00+00:00,In,0.03667,0.03659,0.0369,13489,497.7441,0.9955,4479.00518,13489,4976.7492802000015
2018-02-14T00:03:00+00:00,In,0.0367,0.0366,0.0371,6036,223.9356,0.4479,4254.62171,19525,4978.999209000001
2018-02-14T00:09:00+00:00,In,0.03675,0.03662,0.037,5749,212.713,0.4254,4041.48328,25274,4976.621283000002
2018-02-14T00:21:00+00:00,Out,0.03683,0.03664,0.0366,25274,925.0284,1.8501,4964.66163,0,4964.661626200002
2018-02-14T00:51:00+00:00,In,0.03692,0.0368,0.0372,13345,496.434,0.9929,4467.23476,13345,4963.668758200002
2018-02-14T00:57:00+00:00,In,0.03702,0.03685,0.0373,5988,223.3524,0.4467,4243.43565,19333,4964.556553400002
2018-02-14T01:03:00+00:00,In,0.03712,0.03689,0.0375,5657,212.1375,0.4243,4030.87388,24990,4967.998878400002
2018-02-14T01:09:00+00:00,In,0.03719,0.03693,0.0374,5388,201.5112,0.403,3828.95966,30378,4965.096856000002
2018-02-14T01:51:00+00:00,Out,0.03719,0.03712,0.0369,30378,1120.9482,2.2419,4947.66596,0,4947.665959600001
2018-02-14T03:33:00+00:00,In,0.0372,0.03706,0.0374,13229,494.7646,0.9895,4451.91183,13229,4946.676430400002
2018-02-14T04:15:00+00:00,In,0.0373,0.03721,0.0376,5920,222.592,0.4452,4228.87465,19149,4948.877046400002
2018-02-14T04:21:00+00:00,In,0.03738,0.03726,0.0377,5608,211.4216,0.4228,4017.0302,24757,4950.3691032000015
2018-02-14T04:27:00+00:00,In,0.03747,0.0373,0.0377,5327,200.8279,0.4017,3815.80065,30084,4949.967447400001
2018-02-14T05:33:00+00:00,Out,0.03769,0.03764,0.0376,30084,1131.1584,2.2623,4944.69673,0,4944.6967306000015
2018-02-14T05:39:00+00:00,In,0.03768,0.03768,0.0379,13046,494.4434,0.9889,4449.26444,13046,4943.707843800002
2018-02-14T06:03:00+00:00,Out,0.03775,0.03773,0.0376,13046,490.5296,0.9811,4938.81298,0,4938.812984600002
2018-02-14T06:33:00+00:00,In,0.03775,0.03774,0.038,12996,493.848,0.9877,4443.97729,12996,4937.825288600002
2018-02-14T06:39:00+00:00,In,0.0378,0.03775,0.038,5847,222.186,0.4444,4221.34692,18843,4937.380916600002
2018-02-14T06:51:00+00:00,Out,0.03782,0.03776,0.0377,18843,710.3811,1.4208,4930.30725,0,4930.307254400002
2018-02-14T07:39:00+00:00,In,0.03779,0.03776,0.0382,12906,493.0092,0.986,4436.31204,12906,4929.321236000002
2018-02-14T08:39:00+00:00,Out,0.03795,0.03789,0.0378,12906,487.8468,0.9757,4923.18314,0,4923.183142400002
2018-02-14T10:51:00+00:00,In,0.03757,0.03743,0.0379,12989,492.2831,0.9846,4429.91548,12989,4922.198576200001
2018-02-14T10:57:00+00:00,In,0.03764,0.03747,0.0379,5844,221.4876,0.443,4207.9849,18833,4921.755601000002
2018-02-14T11:21:00+00:00,In,0.03792,0.0376,0.0382,5507,210.3674,0.4207,3997.19677,24340,4926.984766200001
2018-02-14T11:27:00+00:00,In,0.03814,0.03771,0.0395,5059,199.8305,0.3997,3796.96661,29399,4958.2271052000015
2018-02-14T11:33:00+00:00,In,0.03849,0.03789,0.0401,4734,189.8334,0.3797,3606.75354,34133,4975.486838400002
2018-02-14T11:39:00+00:00,In,0.03901,0.03812,0.0411,4387,180.3057,0.3606,3426.08723,38520,5009.259227000001
2018-02-14T11:45:00+00:00,In,0.0395,0.03835,0.0407,4208,171.2656,0.3425,3254.4791,42728,4993.508695800002
2018-02-14T11:51:00+00:00,In,0.04,0.03856,0.041,3968,162.688,0.3254,3091.46572,46696,5006.001719800002
2018-02-14T11:57:00+00:00,In,0.04047,0.03876,0.0408,3788,154.5504,0.3091,2936.60622,50484,4996.353419000002
2018-02-14T12:03:00+00:00,In,0.04079,0.03897,0.041,3581,146.821,0.2936,2789.49158,54065,5006.156577000002
2018-02-14T12:15:00+00:00,In,0.04087,0.03936,0.0414,3368,139.4352,0.2789,2649.77751,57433,5027.503706600002
2018-02-14T12:21:00+00:00,In,0.04093,0.03959,0.0413,3207,132.4491,0.2649,2517.06351,60640,5021.495508400002
2018-02-14T12:27:00+00:00,In,0.04102,0.03982,0.0415,3032,125.828,0.2517,2390.98385,63672,5033.371852400001
2018-02-14T13:03:00+00:00,Out,0.04095,0.04088,0.0406,63672,2585.0832,5.1702,4970.89689,0,4970.896886000002
2018-02-14T13:21:00+00:00,In,0.04103,0.04102,0.0419,11863,497.0597,0.9941,4472.84307,11863,4969.902766600002
2018-02-14T13:27:00+00:00,In,0.04115,0.04108,0.0415,5388,223.602,0.4472,4248.79386,17251,4964.710362600003
2018-02-14T13:45:00+00:00,Out,0.04136,0.04113,0.0411,17251,709.0161,1.418,4956.39193,0,4956.391930400002
2018-02-14T15:39:00+00:00,In,0.04017,0.04006,0.0408,12148,495.6384,0.9913,4459.76225,12148,4955.4006536000015
2018-02-14T16:21:00+00:00,In,0.04048,0.04017,0.0408,5465,222.972,0.4459,4236.34431,17613,4954.954709600002
