时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:39:00+00:00,In,0.03608,0.03606,0.0364,13736,499.9904,1.0,4499.00962,13736,4999.0000192
2018-02-13T14:51:00+00:00,In,0.03619,0.03608,0.0364,6179,224.9156,0.4498,4273.64419,19915,4998.550188
2018-02-13T15:03:00+00:00,Out,0.03628,0.03609,0.036,19915,716.94,1.4339,4989.15031,0,4989.150308
2018-02-13T16:27:00+00:00,In,0.03621,0.03605,0.0375,13304,498.9,0.9978,4489.25251,13304,4988.152508
2018-02-13T16:33:00+00:00,In,0.03646,0.03609,0.0367,6116,224.4572,0.4489,4264.34639,19420,4977.060393600001
2018-02-13T16:51:00+00:00,In,0.03691,0.03615,0.0371,5747,213.2137,0.4264,4050.70627,25167,4984.401966200001
2018-02-13T16:57:00+00:00,In,0.03705,0.03622,0.0373,5429,202.5017,0.405,3847.79956,30596,4989.030362800001
2018-02-13T17:03:00+00:00,In,0.0371,0.03631,0.0378,5089,192.3642,0.3847,3655.05063,35685,5003.9436344000005
2018-02-13T17:09:00+00:00,In,0.03732,0.03644,0.0385,4746,182.721,0.3654,3471.96419,40431,5028.5576924000015
2018-02-13T17:15:00+00:00,In,0.03758,0.03657,0.0383,4532,173.5756,0.3472,3298.04144,44963,5020.124341200001
2018-02-13T17:21:00+00:00,In,0.03784,0.03669,0.0382,4316,164.8712,0.3297,3132.8405,49279,5015.298298800001
2018-02-13T17:27:00+00:00,In,0.03804,0.0368,0.0385,4068,156.618,0.3132,2975.90926,53347,5029.768762800001
2018-02-13T18:21:00+00:00,Out,0.03764,0.03765,0.0375,53347,2000.5125,4.001,4972.42074,0,4972.420737800001
2018-02-13T23:57:00+00:00,In,0.03667,0.03661,0.0369,13475,497.2275,0.9945,4474.19878,13475,4971.426282800001
2018-02-14T00:03:00+00:00,In,0.0367,0.03662,0.0371,6029,223.6759,0.4474,4250.07553,19504,4973.673931000001
2018-02-14T00:09:00+00:00,In,0.03675,0.03663,0.037,5743,212.491,0.425,4037.15955,25247,4971.298549000001
2018-02-14T00:21:00+00:00,Out,0.03683,0.03664,0.0366,25247,924.0402,1.8481,4959.35167,0,4959.351668600001
2018-02-14T00:51:00+00:00,In,0.03692,0.03675,0.0372,13331,495.9132,0.9918,4462.44664,13331,4958.359842200001
2018-02-14T00:57:00+00:00,In,0.03703,0.03679,0.0373,5981,223.0913,0.4462,4238.90916,19312,4959.2467596000015
2018-02-14T01:03:00+00:00,In,0.03713,0.03684,0.0375,5651,211.9125,0.4238,4026.57283,24963,4962.685334600002
2018-02-14T01:09:00+00:00,In,0.03719,0.03689,0.0374,5383,201.3242,0.4026,3824.84599,30346,4959.786386200001
2018-02-14T01:51:00+00:00,Out,0.03719,0.0371,0.0369,30346,1119.7674,2.2395,4942.37385,0,4942.3738514000015
2018-02-14T03:33:00+00:00,In,0.03719,0.03706,0.0374,13214,494.2036,0.9884,4447.18184,13214,4941.385444200001
2018-02-14T04:15:00+00:00,In,0.03731,0.03717,0.0376,5913,222.3288,0.4447,4224.40839,19127,4943.583586600001
2018-02-14T04:21:00+00:00,In,0.03738,0.0372,0.0377,5602,211.1954,0.4224,4012.7906,24729,4945.073895800001
2018-02-14T04:27:00+00:00,In,0.03748,0.03724,0.0377,5322,200.6394,0.4013,3811.74992,30051,4944.672617000001
2018-02-14T05:39:00+00:00,In,0.03768,0.0376,0.0379,5028,190.5612,0.3811,3620.80759,35079,4950.301694600001
2018-02-14T06:03:00+00:00,Out,0.03775,0.03772,0.0376,35079,1318.9704,2.6379,4937.14005,0,4937.140053800001
2018-02-14T06:33:00+00:00,In,0.03775,0.03774,0.038,12992,493.696,0.9874,4442.45666,12992,4936.152661800001
2018-02-14T06:39:00+00:00,In,0.03781,0.03774,0.038,5845,222.11,0.4442,4219.90244,18837,4935.7084418
2018-02-14T06:51:00+00:00,Out,0.03782,0.03776,0.0377,18837,710.1549,1.4203,4928.63703,0,4928.6370320000005
2018-02-14T07:39:00+00:00,In,0.03779,0.03777,0.0382,12902,492.8564,0.9857,4434.79492,12902,4927.6513192
2018-02-14T08:15:00+00:00,In,0.03801,0.03785,0.0382,5804,221.7128,0.4434,4212.63869,18706,4927.207893600001
2018-02-14T08:39:00+00:00,Out,0.03795,0.03786,0.0378,18706,707.0868,1.4142,4918.31132,0,4918.311320000001
2018-02-14T10:51:00+00:00,In,0.03757,0.03744,0.0379,12977,491.8283,0.9837,4425.49936,12977,4917.3276634
2018-02-14T10:57:00+00:00,In,0.03764,0.03745,0.0379,5838,221.2602,0.4425,4203.79664,18815,4916.885143
2018-02-14T11:21:00+00:00,In,0.03793,0.03758,0.0382,5502,210.1764,0.4204,3993.19989,24317,4922.1092902
2018-02-14T11:27:00+00:00,In,0.03815,0.03768,0.0395,5054,199.633,0.3993,3793.16762,29371,4953.3221242
2018-02-14T11:33:00+00:00,In,0.03851,0.0378,0.0401,4729,189.6329,0.3793,3603.15546,34100,4970.5654584
2018-02-14T11:39:00+00:00,In,0.03904,0.03799,0.0411,4383,180.1413,0.3603,3422.65388,38483,5004.3051758
2018-02-14T11:45:00+00:00,In,0.03955,0.03818,0.0407,4204,171.1028,0.3422,3251.20887,42687,4988.569770200001
2018-02-14T11:51:00+00:00,In,0.04005,0.03837,0.041,3964,162.524,0.325,3088.35982,46651,5001.050822200001
2018-02-14T11:57:00+00:00,In,0.04053,0.03857,0.0408,3784,154.3872,0.3088,2933.66385,50435,4991.4118478
2018-02-14T12:15:00+00:00,In,0.04088,0.03909,0.0414,3543,146.6802,0.2934,2786.69029,53978,5021.3794874000005
2018-02-14T12:21:00+00:00,In,0.04094,0.03928,0.0413,3373,139.3049,0.2786,2647.10678,57351,5015.703077600001
2018-02-14T12:27:00+00:00,In,0.04102,0.03949,0.0415,3189,132.3435,0.2647,2514.49859,60540,5026.908590600002
2018-02-14T13:15:00+00:00,In,0.0409,0.0408,0.0416,3022,125.7152,0.2514,2388.53196,63562,5032.7111602
2018-02-14T13:21:00+00:00,In,0.04103,0.04095,0.0419,2850,119.415,0.2388,2268.87813,66412,5051.540930200001
2018-02-14T13:27:00+00:00,In,0.04116,0.04105,0.0415,2733,113.4195,0.2268,2155.23179,69145,5024.749291200001
2018-02-14T13:57:00+00:00,Out,0.04122,0.0411,0.041,69145,2834.945,5.6699,4984.5069,0,4984.5069012
2018-02-14T16:21:00+00:00,In,0.04049,0.04015,0.0408,12216,498.4128,0.9968,4485.09728,12216,4983.5100756
2018-02-14T16:45:00+00:00,Out,0.04034,0.04024,0.0402,12216,491.0832,0.9822,4975.19831,0,4975.1983092
2018-02-14T19:09:00+00:00,In,0.04005,0.04001,0.0403,12345,497.5035,0.995,4476.6998,12345,4974.2033022
2018-02-14T19:15:00+00:00,In,0.04008,0.04003,0.0403,5554,223.8262,0.4477,4252.42595,17899,4973.7556498
2018-02-14T19:27:00+00:00,Out,0.0401,0.04003,0.0399,17899,714.1701,1.4283,4965.16771,0,4965.1677096
2018-02-14T22:33:00+00:00,In,0.04008,0.03991,0.0404,12290,496.516,0.993,4467.65868,12290,4964.1746776
2018-02-14T22:39:00+00:00,In,0.04015,0.03993,0.0404,5529,223.3716,0.4467,4243.84033,17819,4963.727934400001
2018-02-14T22:45:00+00:00,In,0.0402,0.03994,0.0404,5252,212.1808,0.4244,4031.23517,23071,4963.3035728
2018-02-14T22:51:00+00:00,In,0.04024,0.03997,0.0405,4976,201.528,0.4031,3829.30412,28047,4965.207616800001
2018-02-14T22:57:00+00:00,In,0.04033,0.04,0.0406,4715,191.429,0.3829,3637.49226,32762,4967.629458800001
2018-02-14T23:39:00+00:00,In,0.0405,0.04028,0.0407,4468,181.8476,0.3637,3455.28096,37230,4970.541963600001
