时间,交易类型,平均价,当前交易价,交易数量,交易金额,手续费,USDT,COIN,Net_Value
2018-02-13T14:33:00+00:00,In,0.03604,0.03604,0.0363,13774,499.9962,1.0,4499.00381,13774,4999.0000076
2018-02-13T14:39:00+00:00,In,0.03613,0.03606,0.0364,6179,224.9156,0.4498,4273.63838,19953,4999.9275764
2018-02-13T15:03:00+00:00,Out,0.03631,0.03609,0.036,19953,718.308,1.4366,4990.50976,0,4990.5097604
2018-02-13T16:21:00+00:00,In,0.03609,0.03598,0.0372,13415,499.038,0.9981,4490.47368,13415,4989.5116843999995
2018-02-13T16:27:00+00:00,In,0.03659,0.03605,0.0375,5987,224.5125,0.449,4265.51216,19402,4993.0871594
2018-02-13T16:51:00+00:00,In,0.03678,0.03615,0.0371,5748,213.2508,0.4265,4051.83486,25150,4984.8998578
2018-02-13T16:57:00+00:00,In,0.03697,0.03622,0.0373,5431,202.5763,0.4052,3848.85341,30581,4989.5247051999995
2018-02-13T17:03:00+00:00,In,0.03723,0.03631,0.0378,5091,192.4398,0.3849,3656.02873,35672,5004.4303256
2018-02-13T17:09:00+00:00,In,0.0377,0.03645,0.0385,4748,182.798,0.3656,3472.86513,40420,5029.035129600001
2018-02-13T17:15:00+00:00,In,0.038,0.03657,0.0383,4533,173.6139,0.3472,3298.904,44953,5020.6039018
2018-02-13T17:27:00+00:00,In,0.03823,0.03681,0.0385,4284,164.934,0.3299,3133.64013,49237,5029.2646337999995
2018-02-13T18:21:00+00:00,Out,0.03763,0.03765,0.0375,49237,1846.3875,3.6928,4976.33486,0,4976.3348588
2018-02-13T20:27:00+00:00,In,0.03748,0.03744,0.0377,13199,497.6023,0.9952,4477.73735,13199,4975.339654199999
2018-02-13T20:39:00+00:00,Out,0.03757,0.03744,0.0374,13199,493.6426,0.9873,4970.39267,0,4970.392669
2018-02-13T23:57:00+00:00,In,0.03665,0.03661,0.0369,13469,497.0061,0.994,4472.39256,13469,4969.398656799999
2018-02-14T00:03:00+00:00,In,0.03677,0.03662,0.0371,6027,223.6017,0.4472,4248.34365,19496,4971.645253399999
2018-02-14T00:21:00+00:00,Out,0.03688,0.03663,0.0366,19496,713.5536,1.4271,4960.47015,0,4960.470146199999
2018-02-14T00:51:00+00:00,In,0.037,0.03675,0.0372,13334,496.0248,0.992,4463.4533,13334,4959.4780966
2018-02-14T01:03:00+00:00,In,0.03724,0.03685,0.0375,5951,223.1625,0.4463,4239.84447,19285,4963.031971599999
